feature_set,method,class_label,bin,bin_low,bin_high,n_samples,mean_predicted_probability,observed_frequency,absolute_gap
no_salary_hike_no_attrition_no_department,sigmoid,3,9,0.8,0.9,57,0.8636435629750892,0.8421052631578947,0.021538299817194462
no_salary_hike_no_attrition_no_department,sigmoid,3,10,0.9,1.0,24,0.9174306222676823,0.8333333333333334,0.08409728893434898
no_salary_hike_no_attrition_no_department,sigmoid,4,1,0.0,0.1,58,0.06828656160712496,0.1206896551724138,0.05240309356528884
no_salary_hike_no_attrition_no_department,sigmoid,4,2,0.1,0.2,49,0.13291872635522356,0.08163265306122448,0.05128607329399908
no_salary_hike_no_attrition_no_department,sigmoid,4,3,0.2,0.30000000000000004,12,0.23868576103702588,0.16666666666666666,0.07201909437035922
no_salary_hike_no_attrition_no_department,sigmoid,4,4,0.30000000000000004,0.4,1,0.31077213293145034,0.0,0.31077213293145034
no_salary_hike_no_attrition_no_department,isotonic,2,1,0.0,0.1,86,0.005702630578896151,0.0,0.005702630578896151
no_salary_hike_no_attrition_no_department,isotonic,2,2,0.1,0.2,15,0.12099450319349417,0.2,0.07900549680650584
no_salary_hike_no_attrition_no_department,isotonic,2,5,0.4,0.5,2,0.46629817418464686,1.0,0.5337018258153532
no_salary_hike_no_attrition_no_department,isotonic,2,6,0.5,0.6000000000000001,5,0.5582468073450564,1.0,0.4417531926549436
no_salary_hike_no_attrition_no_department,isotonic,2,7,0.6000000000000001,0.7000000000000001,1,0.6793600239111903,1.0,0.3206399760888097
no_salary_hike_no_attrition_no_department,isotonic,2,8,0.7000000000000001,0.8,2,0.7848640263605411,0.5,0.2848640263605411
no_salary_hike_no_attrition_no_department,isotonic,2,9,0.8,0.9,3,0.8430533074032494,0.6666666666666666,0.17638664073658272
no_salary_hike_no_attrition_no_department,isotonic,2,10,0.9,1.0,6,0.9899999851980003,1.0,0.010000014801999746
no_salary_hike_no_attrition_no_department,isotonic,3,1,0.0,0.1,6,9.899999851980002e-09,0.0,9.899999851980002e-09
no_salary_hike_no_attrition_no_department,isotonic,3,2,0.1,0.2,6,0.14453123187732106,0.3333333333333333,0.18880210145601226
no_salary_hike_no_attrition_no_department,isotonic,3,4,0.30000000000000004,0.4,1,0.30659820176094615,0.0,0.30659820176094615
no_salary_hike_no_attrition_no_department,isotonic,3,5,0.4,0.5,6,0.4291698931405435,0.0,0.4291698931405435
no_salary_hike_no_attrition_no_department,isotonic,3,8,0.7000000000000001,0.8,19,0.7365666876972735,0.8421052631578947,0.10553857546062118
no_salary_hike_no_attrition_no_department,isotonic,3,9,0.8,0.9,41,0.8275786617490078,0.8292682926829268,0.0016896309339189397
