feature_set,method,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,adjacent_accuracy,severe_error_rate,nll_log_loss,multiclass_brier,ece_confidence
no_salary_hike_no_attrition_no_department_no_job_role,sigmoid,2,0.7916666666666666,0.5799441786283891,0.5302202351382679,0.7483026991223712,0.4905263157894737,0.7111578947368421,0.5799441786283891,0.7916666666666666,0.20833333333333334,0.5412844036697246,1.0,0.0,0.5451823018135046,0.3192473743974434,0.047340884064283384
no_salary_hike_no_attrition_no_department_no_job_role,isotonic,2,0.7916666666666666,0.5937001594896332,0.5336696292737609,0.749073184402274,0.48944643568299484,0.7147451214655516,0.5937001594896332,0.7916666666666666,0.20833333333333334,0.5559502664298401,1.0,0.0,0.5701021544348859,0.33763075287178285,0.06467334710043622
no_salary_hike_no_attrition_no_department_no_job_role,raw,3,0.8166666666666667,0.6269169427064164,0.6045482295482295,0.7864049145299145,0.6411758659677254,0.7772535717956625,0.6269169427064164,0.8166666666666667,0.18333333333333332,0.6071428571428572,1.0,0.0,0.5898157192912256,0.33108997504050225,0.12404966378172436
no_salary_hike_no_attrition_no_department_no_job_role,sigmoid,3,0.825,0.6088516746411483,0.5653367653367654,0.7782646932646933,0.5281637531749589,0.7369602569849096,0.6088516746411483,0.825,0.175,0.6015180265654649,1.0,0.0,0.524731672667511,0.30968381497786945,0.07470061206201548
no_salary_hike_no_attrition_no_department_no_job_role,isotonic,3,0.8166666666666667,0.6269169427064164,0.6045482295482295,0.7864049145299145,0.6411758659677254,0.7772535717956625,0.6269169427064164,0.8166666666666667,0.18333333333333332,0.6071428571428572,1.0,0.0,0.7762252437922524,0.3110785690832936,0.07668312118000906
no_salary_hike_no_attrition_no_department_no_job_role,raw,4,0.7916666666666666,0.5661881977671451,0.5263835263835265,0.7473294723294723,0.4923053936949051,0.7080718661287914,0.5661881977671451,0.7916666666666666,0.20833333333333334,0.5256166982922201,1.0,0.0,0.549129255630794,0.3116356978254061,0.09366027450251296
no_salary_hike_no_attrition_no_department_no_job_role,sigmoid,4,0.775,0.5311004784688995,0.5018716577540107,0.7303676470588235,0.4757094757094757,0.6906084656084656,0.5311004784688995,0.775,0.225,0.4695481335952849,1.0,0.0,0.5077998210820514,0.30648013961643605,0.04128041569711793
no_salary_hike_no_attrition_no_department_no_job_role,isotonic,4,0.825,0.666313949208686,0.6439856421882169,0.8001017461474104,0.8449328449328449,0.8505189255189255,0.666313949208686,0.825,0.175,0.641025641025641,1.0,0.0,0.6005976013667969,0.28618773418337257,0.03310928568428363
no_salary_hike_no_attrition_no_department_no_job_role,raw,5,0.825,0.6186875234062167,0.6066066066066066,0.7849249249249249,0.8662131519274375,0.8439342403628117,0.6186875234062167,0.825,0.175,0.6062500000000001,1.0,0.0,0.46721957543358295,0.28160644200847795,0.06360122508710822
no_salary_hike_no_attrition_no_department_no_job_role,sigmoid,5,0.8166666666666667,0.5948779995966929,0.5605734767025089,0.7659139784946236,0.53006253006253,0.7211399711399712,0.5948779995966929,0.8166666666666667,0.18333333333333332,0.5789473684210527,1.0,0.0,0.46231467214791633,0.2761123077262766,0.05234683270864912
no_salary_hike_no_attrition_no_department_no_job_role,isotonic,5,0.825,0.6124218592458157,0.5719182597231378,0.7740035157108328,0.5364873222016079,0.7289811379097094,0.6124218592458157,0.825,0.175,0.6050156739811913,1.0,0.0,0.4439038072469882,0.2760585453795367,0.06418923855792352
no_salary_hike_no_attrition_no_department_no_job_role,raw,6,0.7833333333333333,0.5583931092098061,0.5521771771771772,0.747165915915916,0.6554421768707482,0.7530867346938774,0.5583931092098061,0.7833333333333333,0.225,0.4579439252336449,0.9916666666666667,0.008333333333333333,0.5217431152838756,0.32403810180253184,0.0783725098073753
