feature_set,model,attribute,group_value,n_samples,support_warning,class_label,accuracy,macro_f1,actual_class_support,predicted_class_support,positive_prediction_rate,true_positive_rate,false_positive_rate,precision,mean_predicted_probability
no_salary_hike_no_attrition,xgboost,EmpDepartment,Human Resources,54,False,2,0.8518518518518519,0.6008130081300813,10,10,0.18518518518518517,0.9,0.022727272727272728,0.9,0.17970185949687018
no_salary_hike_no_attrition,xgboost,EmpDepartment,Human Resources,54,False,3,0.8518518518518519,0.6008130081300813,38,44,0.8148148148148148,0.9736842105263158,0.4375,0.8409090909090909,0.7300821226780061
no_salary_hike_no_attrition,xgboost,EmpDepartment,Human Resources,54,False,4,0.8518518518518519,0.6008130081300813,6,0,0.0,0.0,0.0,,0.09021601374304199
no_salary_hike_no_attrition,xgboost,EmpDepartment,Research & Development,343,False,2,0.8658892128279884,0.6360501414992475,68,71,0.20699708454810495,0.9705882352941176,0.01818181818181818,0.9295774647887324,0.19742710595124377
no_salary_hike_no_attrition,xgboost,EmpDepartment,Research & Development,343,False,3,0.8658892128279884,0.6360501414992475,234,271,0.7900874635568513,0.9829059829059829,0.3761467889908257,0.8487084870848709,0.7088569998333866
no_salary_hike_no_attrition,xgboost,EmpDepartment,Research & Development,343,False,4,0.8658892128279884,0.6360501414992475,41,1,0.0029154518950437317,0.024390243902439025,0.0,1.0,0.09371589741254845
no_salary_hike_no_attrition,xgboost,EmpDepartment,Sales,373,False,2,0.8605898123324397,0.6015635278395203,87,95,0.2546916890080429,0.9425287356321839,0.045454545454545456,0.8631578947368421,0.22851050211906768
no_salary_hike_no_attrition,xgboost,EmpDepartment,Sales,373,False,3,0.8605898123324397,0.6015635278395203,251,278,0.7453083109919572,0.952191235059761,0.319672131147541,0.8597122302158273,0.6990817258803639
no_salary_hike_no_attrition,xgboost,EmpDepartment,Sales,373,False,4,0.8605898123324397,0.6015635278395203,35,0,0.0,0.0,0.0,,0.07240777059293405
no_salary_hike_no_attrition,xgboost,EducationBackground,Human Resources,21,True,2,0.8571428571428571,0.5887445887445887,3,4,0.19047619047619047,1.0,0.05555555555555555,0.75,0.17888700586488648
no_salary_hike_no_attrition,xgboost,EducationBackground,Human Resources,21,True,3,0.8571428571428571,0.5887445887445887,16,17,0.8095238095238095,0.9375,0.4,0.8823529411764706,0.7420935730139414
no_salary_hike_no_attrition,xgboost,EducationBackground,Human Resources,21,True,4,0.8571428571428571,0.5887445887445887,2,0,0.0,0.0,0.0,,0.079019421068508
no_salary_hike_no_attrition,xgboost,EducationBackground,Life Sciences,492,False,2,0.8475609756097561,0.6055083433792747,78,79,0.16056910569105692,0.8846153846153846,0.024154589371980676,0.8734177215189873,0.15792374251304125
no_salary_hike_no_attrition,xgboost,EducationBackground,Life Sciences,492,False,3,0.8475609756097561,0.6055083433792747,357,411,0.8353658536585366,0.9719887955182073,0.4740740740740741,0.8442822384428224,0.7517617539544325
no_salary_hike_no_attrition,xgboost,EducationBackground,Life Sciences,492,False,4,0.8475609756097561,0.6055083433792747,57,2,0.0040650406504065045,0.017543859649122806,0.0022988505747126436,0.5,0.09031450231046116
no_salary_hike_no_attrition,xgboost,EducationBackground,Marketing,137,False,2,0.8467153284671532,0.5909863945578232,29,35,0.25547445255474455,0.9655172413793104,0.06481481481481481,0.8,0.22635269479891523
no_salary_hike_no_attrition,xgboost,EducationBackground,Marketing,137,False,3,0.8467153284671532,0.5909863945578232,94,102,0.7445255474452555,0.9361702127659575,0.32558139534883723,0.8627450980392157,0.7081254864533018
no_salary_hike_no_attrition,xgboost,EducationBackground,Marketing,137,False,4,0.8467153284671532,0.5909863945578232,14,0,0.0,0.0,0.0,,0.06552181687940212
no_salary_hike_no_attrition,xgboost,EducationBackground,Medical,384,False,2,0.8645833333333334,0.6081587968197563,63,60,0.15625,0.8888888888888888,0.012461059190031152,0.9333333333333333,0.15465734696329037
no_salary_hike_no_attrition,xgboost,EducationBackground,Medical,384,False,3,0.8645833333333334,0.6081587968197563,281,323,0.8411458333333334,0.9822064056939501,0.4563106796116505,0.8544891640866873,0.7579912430058661
no_salary_hike_no_attrition,xgboost,EducationBackground,Medical,384,False,4,0.8645833333333334,0.6081587968197563,40,1,0.0026041666666666665,0.0,0.0029069767441860465,0.0,0.08735141403015707
no_salary_hike_no_attrition,xgboost,EducationBackground,Other,66,False,2,0.8787878787878788,0.5964487489911218,3,4,0.06060606060606061,1.0,0.015873015873015872,0.75,0.05839047038611942
no_salary_hike_no_attrition,xgboost,EducationBackground,Other,66,False,3,0.8787878787878788,0.5964487489911218,56,62,0.9393939393939394,0.9821428571428571,0.7,0.8870967741935484,0.8614966820248149
no_salary_hike_no_attrition,xgboost,EducationBackground,Other,66,False,4,0.8787878787878788,0.5964487489911218,7,0,0.0,0.0,0.0,,0.08011284860725881
no_salary_hike_no_attrition,xgboost,EducationBackground,Technical Degree,100,False,2,0.84,0.594541910331384,18,18,0.18,0.8888888888888888,0.024390243902439025,0.8888888888888888,0.17267862286113086
no_salary_hike_no_attrition,xgboost,EducationBackground,Technical Degree,100,False,3,0.84,0.594541910331384,70,82,0.82,0.9714285714285714,0.4666666666666667,0.8292682926829268,0.7329960224591195
no_salary_hike_no_attrition,xgboost,EducationBackground,Technical Degree,100,False,4,0.84,0.594541910331384,12,0,0.0,0.0,0.0,,0.09432534903171472
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,Non-Travel,132,False,2,0.8484848484848485,0.6259114283521375,21,22,0.16666666666666666,1.0,0.009009009009009009,0.9545454545454546,0.15998800327647725
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,Non-Travel,132,False,3,0.8484848484848485,0.6259114283521375,93,109,0.8257575757575758,0.978494623655914,0.46153846153846156,0.8348623853211009,0.7349023103544657
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,Non-Travel,132,False,4,0.8484848484848485,0.6259114283521375,18,1,0.007575757575757576,0.0,0.008771929824561403,0.0,0.10510968921042865
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,Travel_Frequently,222,False,2,0.8153153153153153,0.586112759643917,37,38,0.17117117117117117,0.8918918918918919,0.02702702702702703,0.868421052631579,0.1647505079791855
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,Travel_Frequently,222,False,3,0.8153153153153153,0.586112759643917,154,183,0.8243243243243243,0.961038961038961,0.5147058823529411,0.8087431693989071,0.7375491072155267
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,Travel_Frequently,222,False,4,0.8153153153153153,0.586112759643917,31,1,0.0045045045045045045,0.0,0.005235602094240838,0.0,0.09770038335815887
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,Travel_Rarely,846,False,2,0.8652482269503546,0.6055123446427794,136,140,0.16548463356973994,0.8897058823529411,0.02676056338028169,0.8642857142857143,0.15990833686602435
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,Travel_Rarely,846,False,3,0.8652482269503546,0.6055123446427794,627,705,0.8333333333333334,0.9728867623604466,0.4337899543378995,0.8652482269503546,0.7599857605533591
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,Travel_Rarely,846,False,4,0.8652482269503546,0.6055123446427794,83,1,0.001182033096926714,0.012048192771084338,0.0,1.0,0.08010590272955871
