feature_set,model,attribute,metric,n_groups_included,min_group_value,min_group_support,min,max_group_value,max_group_support,max,max_gap,min_group_support_threshold,class_label
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,positive_prediction_rate,5,Finance,49,0.6938775510204082,Development,361,0.961218836565097,0.26734128554468883,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,positive_prediction_rate,5,Finance,49,0.0,Human Resources,54,0.018518518518518517,0.018518518518518517,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,precision,4,Development,361,0.0,Sales,373,1.0,1.0,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,precision,5,Development,361,0.23076923076923078,Finance,49,1.0,0.7692307692307692,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,precision,5,Human Resources,54,0.8372093023255814,Finance,49,0.8823529411764706,0.04514363885088912,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,true_positive_rate,5,Development,361,0.23076923076923078,Finance,49,1.0,0.7692307692307692,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,true_positive_rate,5,Human Resources,54,0.9473684210526315,Finance,49,1.0,0.052631578947368474,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,true_positive_rate,5,Development,361,0.0,Sales,373,0.02857142857142857,0.02857142857142857,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,Gender,accuracy,2,Male,725,0.84,Female,475,0.8631578947368421,0.023157894736842155,30,
no_salary_hike_no_attrition_no_department,xgboost,Gender,false_positive_rate,2,Female,475,0.02,Male,725,0.037953795379537955,0.017953795379537955,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,Gender,false_positive_rate,2,Female,475,0.4444444444444444,Male,725,0.455,0.010555555555555596,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,Gender,false_positive_rate,2,Female,475,0.0023584905660377358,Male,725,0.003105590062111801,0.0007470994960740653,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,Gender,macro_f1,2,Male,725,0.5934309776086911,Female,475,0.6073679507078689,0.01393697309917774,30,
no_salary_hike_no_attrition_no_department,xgboost,Gender,mean_predicted_probability,2,Male,725,0.7430706901925391,Female,475,0.7598435581377463,0.01677286794520716,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,Gender,mean_predicted_probability,2,Female,475,0.155254440741831,Male,725,0.16759591559730952,0.012341474855478513,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,Gender,mean_predicted_probability,2,Female,475,0.08490200180609367,Male,725,0.08933339323655798,0.00443139143046431,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,Gender,positive_prediction_rate,2,Male,725,0.8165517241379311,Female,475,0.8357894736842105,0.019237749546279437,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,Gender,positive_prediction_rate,2,Female,475,0.16210526315789472,Male,725,0.1793103448275862,0.01720508166969148,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,Gender,positive_prediction_rate,2,Female,475,0.002105263157894737,Male,725,0.004137931034482759,0.002032667876588022,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,Gender,precision,2,Female,475,0.0,Male,725,0.3333333333333333,0.3333333333333333,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,Gender,precision,2,Male,725,0.823076923076923,Female,475,0.8961038961038961,0.07302697302697303,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,Gender,precision,2,Male,725,0.8462837837837838,Female,475,0.8589420654911839,0.012658281707400132,30,3.0
